TERRYR,year_,Count,InABS
NWCO78,1978,4410,TRUE
NWES78,1978,6153,FALSE
NWXR78,1978,3555,TRUE
PLAZ78,1978,3990,TRUE
PLOT78,1978,5115,TRUE
POLE78,1978,1056,TRUE
ROSE78,1978,4934,TRUE
SAND78,1978,2972,TRUE
SBAY78,1978,4487,TRUE
SFLA78,1978,6146,TRUE
SIXS78,1978,7218,TRUE
SORA78,1978,5126,TRUE
SWCO78,1978,4326,TRUE
WBEN78,1978,1667,TRUE
WCUL78,1978,9870,FALSE
WFEN78,1978,5837,FALSE
WLIN78,1978,7499,FALSE
XRDS78,1978,6321,TRUE
ANNI79,1979,6631,TRUE
ARCT79,1979,4319,TRUE
BEND79,1979,1989,TRUE
BIGL79,1979,6097,TRUE
CABS79,1979,4604,TRUE
COPS79,1979,3499,TRUE
COWW79,1979,2123,TRUE
ECUL79,1979,3775,TRUE
FARS79,1979,4312,TRUE
JUNK79,1979,1264,TRUE
NBAY79,1979,4483,TRUE
NBEN79,1979,3338,TRUE
NCOP79,1979,1174,TRUE
NRID79,1979,1732,TRUE
NWCO79,1979,3667,TRUE
NWES79,1979,4303,FALSE
NWXR79,1979,3758,TRUE
PLAZ79,1979,4153,TRUE
PLOT79,1979,4328,TRUE
POLE79,1979,2092,TRUE
ROSE79,1979,5714,TRUE
SAND79,1979,3467,TRUE
SBAY79,1979,7291,TRUE
SCOP79,1979,4678,TRUE
SFLA79,1979,6276,TRUE
SIXS79,1979,2824,TRUE
SORA79,1979,3856,TRUE
SPLT79,1979,2349,TRUE
SSAN79,1979,1615,TRUE
SWCO79,1979,5324,TRUE
WBEN79,1979,3490,TRUE
WCUL79,1979,9040,FALSE
WLIN79,1979,6634,FALSE
XRDS79,1979,3134,TRUE
ANNI80,1980,8956,TRUE
BAYR80,1980,4925,TRUE
BEND80,1980,7249,TRUE
CABS80,1980,5935,TRUE
COPS80,1980,7572,TRUE
DIKE80,1980,4653,FALSE
FARS80,1980,2787,TRUE
FIRE80,1980,1580,TRUE
LINS80,1980,6642,TRUE
LINX80,1980,6319,FALSE
NBEN80,1980,6225,TRUE
NRID80,1980,7732,TRUE
NWES80,1980,5140,FALSE
PLAZ80,1980,3865,TRUE
PLOT80,1980,5022,TRUE
ROSE80,1980,8664,TRUE
SAND80,1980,5259,TRUE
SORA80,1980,4165,TRUE
SSAN80,1980,6139,TRUE
WCOP80,1980,8882,TRUE
WLIN80,1980,5027,FALSE
XRDS80,1980,3776,TRUE
ANNI81,1981,5319,TRUE
ANYR81,1981,1827,TRUE
ARCT81,1981,4270,TRUE
BAYR81,1981,5710,TRUE
BEND81,1981,5980,TRUE
CABS81,1981,4127,TRUE
CACT81,1981,6571,FALSE
COPS81,1981,7201,TRUE
DIKE81,1981,3484,FALSE
ECUL81,1981,2730,TRUE
FARS81,1981,2038,TRUE
FIRE81,1981,2301,TRUE
LINS81,1981,4924,TRUE
LINX81,1981,6994,FALSE
NBEN81,1981,7067,TRUE
NRID81,1981,5733,TRUE
NWES81,1981,5461,FALSE
PLAZ81,1981,3769,TRUE
PLOT81,1981,3013,TRUE
POLA81,1981,6959,TRUE
ROSE81,1981,7724,TRUE
SAND81,1981,5233,TRUE
SORA81,1981,5450,TRUE
SSAN81,1981,9048,TRUE
SWES81,1981,3233,TRUE
WCOP81,1981,10171,TRUE
WLIN81,1981,3043,FALSE
XRDS81,1981,4418,TRUE
ANNI82,1982,8304,TRUE
ANYR82,1982,1981,TRUE
ARCT82,1982,3019,TRUE
BEND82,1982,5537,TRUE
CABS82,1982,4602,TRUE
CACT82,1982,10571,FALSE
COPS82,1982,7184,TRUE
DBLE82,1982,897,TRUE
FARS82,1982,2778,TRUE
FIRE82,1982,2540,TRUE
LINS82,1982,4411,TRUE
NBEN82,1982,5196,TRUE
NNWS82,1982,6107,FALSE
NRID82,1982,5833,TRUE
NWES82,1982,8536,FALSE
PLAZ82,1982,7171,TRUE
ROSE82,1982,5845,TRUE
SAND82,1982,8246,TRUE
SIXS82,1982,2577,TRUE
SORA82,1982,5668,TRUE
SSAN82,1982,11013,TRUE
WCOP82,1982,8881,TRUE
WLIN82,1982,6416,FALSE
XRDS82,1982,4199,TRUE
ANNI83,1983,10444,TRUE
ANYR83,1983,2599,TRUE
ARCT83,1983,3669,TRUE
BEND83,1983,5353,TRUE
CABS83,1983,4030,TRUE
COPS83,1983,6117,TRUE
CTRW83,1983,3875,TRUE
DBLE83,1983,3636,TRUE
EBAY83,1983,2962,TRUE
FARS83,1983,5783,TRUE
FENC83,1983,4379,FALSE
FIRE83,1983,2968,TRUE
IBRN83,1983,3753,TRUE
LINS83,1983,5659,TRUE
NBEN83,1983,5175,TRUE
NRID83,1983,6149,TRUE
NWES83,1983,4942,TRUE
PLAZ83,1983,6643,TRUE
POLA83,1983,4893,TRUE
ROSE83,1983,5700,FALSE
SAND83,1983,5965,TRUE
SCOP83,1983,8001,TRUE
SFLA83,1983,3889,TRUE
SIXS83,1983,2381,TRUE
SORA83,1983,5491,TRUE
SSAN83,1983,12758,TRUE
WCOP83,1983,8105,TRUE
WCPR83,1983,2216,TRUE
XRDS83,1983,4734,TRUE
ANNI84,1984,6543,TRUE
ANYR84,1984,3524,TRUE
ARCT84,1984,4196,TRUE
BEND84,1984,5768,TRUE
CABS84,1984,6691,TRUE
COPS84,1984,6044,TRUE
CTRW84,1984,1818,TRUE
DBLE84,1984,3715,TRUE
EBAY84,1984,6086,TRUE
FARS84,1984,4526,TRUE
FIRE84,1984,3191,TRUE
IBRN84,1984,3356,TRUE
LINS84,1984,2879,TRUE
MBEN84,1984,2782,TRUE
NBEN84,1984,5506,TRUE
NRID84,1984,5252,TRUE
NWES84,1984,5602,FALSE
PLAZ84,1984,7380,TRUE
POLA84,1984,4671,TRUE
RATL84,1984,3605,TRUE
ROSE84,1984,8260,TRUE
SAND84,1984,8378,TRUE
SCOP84,1984,7416,TRUE
SIXS84,1984,2959,TRUE
SORA84,1984,5990,TRUE
SPLT84,1984,4607,TRUE
SSAN84,1984,6483,TRUE
WCOP84,1984,5161,TRUE
WCPR84,1984,3780,FALSE
XRDS84,1984,3526,TRUE
ARCT85,1985,5905,TRUE
BEND85,1985,7180,TRUE
CABS85,1985,5352,TRUE
CACT85,1985,11467,FALSE
COPS85,1985,3357,TRUE
CTRW85,1985,3579,TRUE
EBAY85,1985,9960,TRUE
FARS85,1985,4143,TRUE
FENC85,1985,7673,FALSE
FIRE85,1985,4538,TRUE
IBRN85,1985,3284,FALSE
LINS85,1985,5809,TRUE
LINX85,1985,6905,FALSE
NBEN85,1985,7048,TRUE
NRID85,1985,8483,TRUE
NWES85,1985,9919,FALSE
PLAZ85,1985,6178,TRUE
POLA85,1985,4583,TRUE
RATL85,1985,8089,TRUE
SAND85,1985,7965,TRUE
SCOB85,1985,5908,TRUE
SCOP85,1985,4363,TRUE
SIXS85,1985,8155,TRUE
SORA85,1985,4989,TRUE
SPLT85,1985,5150,TRUE
SSAN85,1985,7977,TRUE
WCOP85,1985,5728,TRUE
WCPR85,1985,3831,FALSE
XRDS85,1985,3134,TRUE
ARCT86,1986,7504,TRUE
BEND86,1986,5271,TRUE
BIGL86,1986,4947,TRUE
CABS86,1986,5360,TRUE
CACT86,1986,6243,FALSE
CRAN86,1986,4522,FALSE
CTRW86,1986,5183,TRUE
DEER86,1986,11727,FALSE
DIKE86,1986,2373,FALSE
EBAY86,1986,10485,TRUE
ECUL86,1986,3502,TRUE
FENC86,1986,5882,FALSE
IBRN86,1986,950,TRUE
LINS86,1986,5586,TRUE
LINX86,1986,5177,FALSE
