USFWBand,JayID,Sex,AgeKnown,NatalNest,FldgDate,LastObsDate
1713-13976,nPQ-,F,Y,NWTR111,4/15/2011,6/9/2011
1713-49233,nWQ-,F,Y,SWSE114,5/9/2011,6/7/2011
1713-13994,YYQ-,F,Y,MIDG111,4/18/2011,10/14/2015
1713-49231,LHQ-,F,Y,CIRC112,5/9/2011,5/13/2015
1713-49029,BHQ-,F,Y,REED111,4/19/2011,7/20/2011
1713-13981,OWQ-,F,Y,EAGR111,4/17/2011,3/11/2015
1713-13983,nGQ-,F,Y,EAGR111,4/17/2011,5/2/2011
1603-51513,-CBO,F,Y,MERL081,4/22/2008,7/17/2009
1713-49227,BLQ-,F,Y,PLAZ112,5/8/2011,10/14/2015
1713-13991,YWQ-,F,Y,MIDG111,4/18/2011,6/16/2011
1713-13992,YRQ-,F,Y,MIDG111,4/18/2011,6/16/2011
1713-13979,nHQ-,F,Y,SFLC111,4/15/2011,4/19/2011
1713-49065,LOQ-,F,Y,SFBS111,4/23/2011,3/13/2013
1713-49085,HPQ-,F,Y,SAND111,4/27/2011,5/13/2013
1713-49059,PWQ-,F,Y,ROSE111,4/23/2011,11/16/2011
1713-49061,nGQ-,F,Y,ROSE111,4/23/2011,5/23/2011
1713-49083,nYQ-,F,Y,SAND111,4/27/2011,5/5/2011
1713-49082,HGQ-,F,Y,SAND111,4/27/2011,3/14/2012
1713-49081,YRQ-H,F,Y,PINE111,4/25/2011,4/2/2013
1713-49026,HRQ-,F,Y,MERL111,4/19/2011,10/14/2015
1713-49064,nPQ-,F,Y,SFBS111,4/23/2011,6/22/2011
1713-49089,WGQ-H,F,Y,CURY112,4/29/2011,12/14/2011
1713-49067,nAQ-,F,Y,COPS111,4/24/2011,6/24/2011
1713-49068,AWQ-,F,Y,FENC112,4/27/2011,9/14/2011
1713-49069,ARQ-,F,Y,FENC112,4/27/2011,4/1/2013
1713-49075,GLQ-,F,Y,JANW111,4/24/2011,10/14/2015
1713-49074,BOQ-,F,Y,CATB112,4/27/2011,10/14/2015
1713-49071,AYQ-,F,Y,FENC112,4/27/2011,12/14/2011
1713-49080,YWQ-H,F,Y,PINE111,4/25/2011,4/1/2013
1713-49046,nHQ-,F,Y,NXRD112,4/20/2011,4/21/2011
1713-13970,WAQ-,F,Y,WARY111,4/14/2011,6/15/2011
1713-49031,YBQ-,F,Y,NNAR111,4/14/2011,6/16/2011
1713-49213,PYQ-,F,Y,GRVR111,5/2/2011,7/3/2011
1713-49212,PGQ-,F,Y,GRVR111,5/2/2011,7/3/2011
1713-49035,BWQ-,F,Y,WISE111,4/18/2011,10/14/2015
1713-49037,OGQ-,F,Y,WISE111,4/18/2011,10/14/2015
1713-49087,WWQ-H,F,Y,CURY112,4/29/2011,10/19/2011
1713-49045,nLQ-,F,Y,NXRD112,4/20/2011,4/21/2011
1713-49088,WRQ-H,F,Y,CURY112,4/29/2011,3/14/2012
1713-49047,nAQ-,F,Y,NXRD112,4/20/2011,4/22/2011
1713-49051,LYQ-,F,Y,BUBO111,4/21/2011,8/17/2011
1713-49093,nAQ-,F,Y,ANGB111,4/30/2011,5/11/2011
1713-49092,nHQ-,F,Y,ANGB111,4/30/2011,5/11/2011
1713-49058,nLQ-,F,Y,FRED112,4/23/2011,5/2/2011
1713-49090,WYQ-H,F,Y,CURY112,4/29/2011,7/4/2011
1713-49027,nGQ-,F,Y,MERL111,4/19/2011,5/19/2011
1713-49209,OOQ-,F,Y,EBAY112,4/30/2011,5/15/2012
1713-13693,-nLQ,F,Y,EBAY103,6/2/2010,6/5/2010
1713-49303,POQ-H,F,Y,NWES113,6/20/2011,8/12/2013
1713-13680,-PLQ,F,Y,HTOP104,5/25/2010,10/14/2015
1713-49299,nGQ-,F,Y,POLA116,6/18/2011,6/26/2011
1713-49296,nGQ-,F,Y,RAUL112,6/11/2011,7/10/2011
1713-49292,nLQ-,F,Y,SFLS114,6/11/2011,6/15/2011
1713-13686,-nYQ,F,Y,RISE101,5/30/2010,6/27/2010
1713-13906,-nRQ,F,Y,REED102,6/13/2010,6/28/2010
1713-49289,PBQ-H,F,Y,LARR112,6/10/2011,9/14/2011
1713-49308,nLQ-,F,Y,BNCH113,6/23/2011,7/1/2011
1713-49288,PYQ-H,F,Y,LARR112,6/10/2011,8/17/2011
1713-13901,-nOQ,F,Y,ANGL102,6/5/2010,6/6/2010
1713-49285,nWQ-,F,Y,REDB112,6/7/2011,8/17/2011
1713-49284,nAQ-,F,Y,CABS112,6/4/2011,6/28/2011
1713-49283,GHQ-,F,Y,CABS112,6/4/2011,10/14/2015
1713-49239,WOQ-H,F,Y,BLAR111,5/9/2011,9/14/2011
1713-13687,-OBQ,F,Y,RISE101,5/30/2010,8/6/2010
1713-49331,nQ-R,F,Y,NWTR121,4/26/2012,5/15/2012
1713-13665,-GHQ,F,Y,SCOB102,5/19/2010,2/16/2011
1713-13667,-nLQ,F,Y,HILD101,5/25/2010,6/1/2010
1713-49350,RQ-H,F,Y,EAGR121,5/6/2012,2/27/2014
1713-49349,RQ-L,F,Y,EAGR121,5/6/2012,5/13/2013
1713-49343,nQ-L,F,Y,SFLA121,5/3/2012,5/15/2012
1713-49340,nQ-G,F,Y,MERL121,5/4/2012,5/15/2012
1713-49307,BOQ-H,F,Y,BNCH113,6/23/2011,10/14/2015
1713-49338,nQ-W,F,Y,MERL121,5/4/2012,5/15/2012
1713-13676,-OYQ,F,Y,SAND101,5/23/2010,10/16/2013
1713-13671,-nOQ,F,Y,SING101,5/21/2010,6/17/2010
1713-49314,nGQ-,F,Y,SFLW113,6/30/2011,7/20/2011
1713-13672,-YLQ,F,Y,SING101,5/21/2010,3/11/2015
1713-13673,-OWQ,F,Y,SAND101,5/23/2010,8/13/2014
1713-49313,nRQ-,F,Y,SFLW113,6/30/2011,7/20/2011
1713-13674,-nRQ,F,Y,SAND101,5/23/2010,5/25/2010
1713-13908,-BYQ,F,Y,ANGB102,6/14/2010,4/1/2013
1713-49339,nQ-R,F,Y,MERL121,5/4/2012,5/21/2012
1713-49250,nOQ-,F,Y,RATL113,5/11/2011,5/13/2011
1713-13933,-nGQ,F,Y,PLAZ104,7/2/2010,7/3/2010
1713-13952,WRQ-,F,Y,NBEN111,4/9/2011,10/14/2015
1713-13953,nGQ-,F,Y,NBEN111,4/9/2011,5/13/2011
1713-49261,PLQ-,F,Y,SING112,5/19/2011,2/13/2013
1713-49257,WBQ-H,F,Y,LOPZ113,5/16/2011,7/21/2014
1713-49254,nWQ-,F,Y,LARY113,5/13/2011,7/18/2011
1713-13699,-nBQ,F,Y,FARS102,6/6/2010,6/6/2010
1713-13964,nOQ-,F,Y,PINN111,4/11/2011,4/26/2011
1713-13929,-LOQ,F,Y,TP39107,6/22/2010,1/16/2013
1713-49248,nBQ-,F,Y,RATL113,5/11/2011,6/3/2011
1713-49246,BYQ-,F,Y,TWEN112,5/12/2011,10/19/2011
1713-49242,nAQ-,F,Y,BOBB112,5/10/2011,5/18/2011
1713-49241,OHQ-,F,Y,BOBB112,5/10/2011,12/14/2011
1713-49240,OLQ-,F,Y,BOBB112,5/10/2011,8/17/2011
1713-13363,-GLQ,F,Y,NWTR101,4/28/2010,7/14/2010
1713-13960,nGQ-,F,Y,WISB111,4/11/2011,4/20/2011
1713-13921,-HOQ,F,Y,SR70102,6/21/2010,12/14/2011
1713-13909,-nBQ,F,Y,ANGB102,6/14/2010,6/22/2010
1713-13910,-nPQ,F,Y,ANGB102,6/14/2010,8/16/2010
1713-49280,nPQ-,F,Y,NPOL112,6/3/2011,11/16/2011
1713-13915,-nWQ,F,Y,N7RD102,6/17/2010,6/18/2010
1713-13917,-nGQ,F,Y,N7RD102,6/17/2010,6/18/2010
1713-13918,-nYQ,F,Y,N7RD102,6/17/2010,6/18/2010
1713-49265,BRQ-H,F,Y,HEWT112,5/22/2011,7/17/2013
1713-49272,RLQ-H,F,Y,PITA113,5/30/2011,8/13/2014
1713-13932,-BRQ,F,Y,PLAZ104,7/2/2010,4/1/2013
1713-49269,nPQ-,F,Y,JERE112,5/27/2011,9/14/2011
1713-13922,-nLQ,F,Y,SR70102,6/21/2010,9/15/2010
1713-13924,-nRQ,F,Y,CIRC105,6/22/2010,6/24/2010
1713-13926,-AYQ,F,Y,WCUL103,6/22/2010,5/13/2015
1713-49268,nBQ-,F,Y,HEWT112,5/22/2011,7/11/2011
1713-13927,-nBQ,F,Y,WCUL103,6/22/2010,7/30/2010
1713-13971,RWQ-,F,Y,ANGL111,4/17/2011,10/19/2011
1713-13920,-GPQ,F,Y,SR70102,6/21/2010,8/13/2014
1603-51788,H-CRL,F,Y,N7RD082,5/29/2008,8/19/2009
1603-51745,-CnB,F,Y,MATT082,5/21/2008,8/18/2008
1603-51568,-CWB,F,Y,CATE081,4/29/2008,7/11/2008
1603-51532,-COY,F,Y,CHOP081,4/26/2008,8/18/2008
1603-51534,-COB,F,Y,CHOP081,4/26/2008,7/11/2008
1603-51722,-CnL,F,Y,HEWT083,5/8/2008,6/27/2008
1713-89728,QP-H,F,Y,TWEN142,6/3/2014,12/15/2014
1603-51539,-CWW,F,Y,SFLW081,4/27/2008,6/11/2009
1603-51720,-CBP,F,Y,HEWT083,5/8/2008,10/14/2015
1603-51586,-CGR,F,Y,HTOP082,5/3/2008,2/11/2009
1603-51760,-CnL,F,Y,FENC082,5/22/2008,6/9/2008
1603-51738,-CnA,F,Y,SR70081,5/17/2008,6/2/2008
1603-51750,H-CLA,F,Y,DICE083,5/22/2008,8/18/2008
1603-51761,-CnH,F,Y,FENC082,5/22/2008,6/1/2008
1603-51567,-cna,F,Y,BIGL082,4/30/2008,5/14/2008
1713-89660,QR-A,F,Y,JERE141,5/3/2014,7/21/2014
1713-89725,Qn-P,F,Y,CRSN143,6/3/2014,6/11/2014
1713-89727,Qn-L,F,Y,CRSN143,6/3/2014,6/12/2014
1603-51591,-CnO,F,Y,NXRD081,5/3/2008,6/25/2008
1603-51590,-CnP,F,Y,NXRD081,5/3/2008,5/16/2008
1603-51787,-cna,F,Y,NPOL082,5/29/2008,5/29/2008
1603-51569,-CRP,F,Y,MOLY081,4/30/2008,8/18/2008
1603-51564,-CAO,F,Y,SHIC081,4/29/2008,2/11/2009
1603-51789,H-CRH,F,Y,N7RD082,5/29/2008,7/11/2008
1713-89640,QB-L,F,Y,RAUL141,4/28/2014,10/14/2015
1713-89682,QP-R,F,Y,NWES141,5/10/2014,8/13/2014
1713-89661,QG-W,F,Y,ROSE141,5/4/2014,7/15/2015
1603-51523,-CYA,F,Y,PITA081,4/24/2008,8/16/2010
1713-89681,QP-W,F,Y,NWES141,5/10/2014,10/14/2015
1713-89721,QA-R,F,Y,HEWT142,6/1/2014,3/11/2015
1603-51790,H-CGW,F,Y,SAND082,5/31/2008,6/12/2013
1713-89634,QY-R,F,Y,NSWL141,4/27/2014,10/14/2015
1603-51717,-CAG,F,Y,LOPZ081,5/8/2008,10/14/2015
1713-89716,QO-O,F,Y,CATB143,5/30/2014,10/15/2014
1603-51763,H-CAW,F,Y,POLA082,5/25/2008,11/18/2009
1603-51548,-CHG,F,Y,BOBB081,4/25/2008,7/11/2008
1603-51549,-CnL,F,Y,CRMB081,4/29/2008,5/14/2008
1713-89718,Qn-H,F,Y,BLRB142,5/28/2014,6/28/2014
1603-51550,-CLH,F,Y,CRMB081,4/29/2008,8/16/2010
1603-51768,-CnP,F,Y,XRDS082,5/25/2008,6/6/2008
1603-51547,-CHR,F,Y,MITA081,4/25/2008,9/16/2008
1603-51765,H-CAG,F,Y,POLA082,5/25/2008,9/16/2009
1713-89719,QH-A,F,Y,BLRB142,5/28/2014,8/13/2014
1603-51767,H-CAB,F,Y,XRDS082,5/25/2008,9/16/2008
1713-89689,Qn-H,F,Y,CIRC143,5/12/2014,6/13/2014
1713-89685,QO-A,F,Y,WCOP141,5/10/2014,9/17/2014
1713-89715,QO-P,F,Y,CATB143,5/30/2014,10/14/2015
1603-51563,-CnP,F,Y,SHIC081,4/29/2008,5/30/2008
1603-51574,-CRO,F,Y,MOLY081,4/30/2008,8/19/2009
1603-51551,-cna,F,Y,CRMB081,4/29/2008,5/14/2008
1713-89635,Qn-G,F,Y,BINX141,4/30/2014,5/8/2014
1713-89651,QW-W,F,Y,PINS142,5/1/2014,8/13/2014
1603-51781,-CnG,F,Y,TP11082,5/31/2008,7/1/2008
1603-51724,-CnR,F,Y,EBAY083,5/11/2008,6/7/2008
1713-89692,QO-R,F,Y,BNCH142,5/14/2014,9/16/2015
1713-89720,QA-W,F,Y,HEWT142,6/1/2014,5/13/2015
1603-51725,-CAA,F,Y,EBAY083,5/11/2008,6/11/2009
1603-51770,-CnL,F,Y,XRDS082,5/25/2008,8/18/2008
1603-51779,-CnW,F,Y,TP11082,5/31/2008,6/16/2008
1603-51723,-CAP,F,Y,EBAY083,5/11/2008,9/16/2008
1603-51775,H-CWB,F,Y,HILD082,5/28/2008,11/12/2008
1603-51580,-CYY,F,Y,COPS081,5/1/2008,4/14/2009
1603-51764,-CnR,F,Y,POLA082,5/25/2008,6/26/2008
1713-89691,QO-W,F,Y,BNCH142,5/14/2014,9/16/2015
1603-51737,H-COH,F,Y,ATNT081,5/18/2008,3/18/2010
1713-89656,QL-P,F,Y,SHIC141,5/1/2014,8/12/2015
1603-51731,-CnY,F,Y,SCRP083,5/15/2008,7/11/2008
1713-89621,QH-W,F,Y,BOBB141,4/24/2014,10/14/2015
1603-51710,-CBB,F,Y,CLAS082,5/8/2008,11/12/2008
1603-51597,-CLW,F,Y,BNCH081,5/7/2008,7/17/2009
1603-51756,H-CHY,F,Y,SCOB082,5/23/2008,6/11/2009
1603-51801,-CnG,F,Y,PINS083,6/11/2008,7/11/2008
1713-89743,QH-P,F,Y,COPS143,6/15/2014,9/17/2014
1713-89669,QG-H,F,Y,CATE141,5/6/2014,10/14/2015
1603-51800,-CnR,F,Y,PINS083,6/11/2008,7/7/2008
1603-51571,-CBR,F,Y,ANNI081,4/29/2008,10/14/2015
1603-51516,-CnY,F,Y,SCAC081,4/24/2008,5/14/2008
1713-89622,QH-R,F,Y,BOBB141,4/24/2014,10/15/2014
1713-89742,Qn-B,F,Y,COPS143,6/15/2014,7/18/2014
1713-89735,Qn-P,F,Y,PITA146,6/11/2014,10/15/2014
1603-51518,-CPP,F,Y,SCAC081,4/24/2008,10/14/2015
1713-89646,QB-P,F,Y,SLAK141,4/28/2014,10/14/2015
1713-89619,QG-O,F,Y,NENE141,4/27/2014,4/15/2015
1603-51707,-CAR,F,Y,CRNB082,5/7/2008,4/1/2013
1603-51703,-CYO,F,Y,PINE082,5/7/2008,7/11/2008
1713-89751,QL-A,F,Y,ELIN142,6/19/2014,10/14/2015
1603-51880,nH-Q,F,Y,SFLA091,5/12/2009,5/12/2009
1603-51879,nL-Q,F,Y,SFLA091,5/12/2009,6/11/2009
1603-51706,-CAW,F,Y,CRNB082,5/7/2008,7/6/2011
1603-51882,nR-Q,F,Y,LARR091,5/12/2009,6/23/2009
1713-89618,QG-P,F,Y,NENE141,4/27/2014,4/15/2015
1603-51600,-CYL,F,Y,PINE082,5/7/2008,7/11/2008
1713-89675,Qn-P,F,Y,PINE141,5/8/2014,5/12/2014
1713-89616,QP-Y,F,Y,DICE141,4/23/2014,9/17/2014
1603-51708,-CnG,F,Y,CRNB082,5/7/2008,5/21/2008
1713-89642,Qn-A,F,Y,RAUL141,4/28/2014,4/30/2014
1603-51881,OW-Q,F,Y,LARR091,5/12/2009,1/10/2011
1713-89671,Qn-R,F,Y,TP39141,5/7/2014,5/15/2014
1603-51799,H-CBW,F,Y,PINS083,6/11/2008,8/18/2008
1603-51749,H-CLH,F,Y,DICE083,5/22/2008,8/18/2008
1713-89649,Qn-H,F,Y,N18E141,4/28/2014,5/21/2014
1713-89708,Qn-H,F,Y,SING142,5/26/2014,6/11/2014
1603-51520,-CPL,F,Y,PLAZ081,4/23/2008,1/20/2010
1603-51519,-CnO,F,Y,PLAZ081,4/23/2008,6/10/2008
1603-51891,nA-Q,F,Y,BINX093,5/18/2009,6/11/2009
1713-89709,Qn-A,F,Y,SING142,5/26/2014,6/11/2014
1713-89668,QG-L,F,Y,CATE141,5/6/2014,10/15/2014
1603-51596,-CGA,F,Y,CTRN081,5/6/2008,7/11/2008
1713-89648,QY-L,F,Y,N18E141,4/28/2014,10/14/2015
1603-51757,-CnB,F,Y,FENC082,5/22/2008,6/16/2008
1603-51594,-CnA,F,Y,SFRR081,5/1/2008,5/7/2008
1603-51759,-CnO,F,Y,FENC082,5/22/2008,6/16/2008
1603-51758,-CnP,F,Y,FENC082,5/22/2008,8/18/2008
1603-51593,-CHA,F,Y,SFRR081,5/1/2008,1/20/2010
1713-89624,Qn-Y,F,Y,SAND142,4/27/2014,5/12/2014
1713-89626,QW-P,F,Y,SAND142,4/27/2014,8/12/2015
1713-89707,QO-L,F,Y,SING142,5/26/2014,10/14/2015
1713-89676,QP-O,F,Y,PINE141,5/8/2014,7/21/2014
1713-89625,QA-B,F,Y,SAND142,4/27/2014,10/14/2015
1603-51793,-CnY,F,Y,REED084,6/6/2008,7/11/2008
1603-51748,H-CLL,F,Y,DICE083,5/22/2008,8/18/2008
1603-51714,-CPA,F,Y,ANGL082,5/7/2008,7/11/2008
1453-39089,FBZ-,M,Y,WSIX911,4/24/1991,11/13/1991
1713-89695,Qn-Y,M,Y,CLAS145,5/14/2014,5/16/2014
1713-89690,QB-A,M,Y,CIRC143,5/12/2014,10/14/2015
1453-39068,GnZ-,M,Y,ASPH911,4/22/1991,6/2/1991
1713-49270,nOQ-,M,Y,JERE112,5/27/2011,6/4/2011
1713-49266,BGQ-,M,Y,HEWT112,5/22/2011,10/19/2011
1053-14402,=SBG,M,Y,CTRN881,6/5/1988,6/11/1991
1453-39087,OnZ-,M,Y,MUME911,4/22/1991,4/22/1991
1713-49259,YOQ-H,M,Y,LOPZ113,5/16/2011,9/14/2011
1453-39085,BWZ-,M,Y,MUME911,4/22/1991,2/18/1992
1053-14420,-SWA,M,Y,EBAY882,6/12/1988,6/15/1998
1453-39078,WWZ-,M,Y,SWAL911,4/22/1991,6/15/1994
1713-49258,YPQ-H,M,Y,LOPZ113,5/16/2011,6/12/2013
1453-39072,PnZ-,M,Y,MBEN911,4/22/1991,5/10/1991
1053-14423,-SYA,M,Y,EBAY882,6/12/1988,7/12/1988
1713-89694,Qn-B,M,Y,CLAS145,5/14/2014,5/16/2014
1453-39073,OLZ-,M,Y,MBEN911,4/22/1991,12/13/1991
1713-89697,QW-O,M,Y,SCRP142,5/23/2014,4/15/2015
1453-39088,LBZ-,M,Y,WSIX911,4/24/1991,10/16/1991
1713-49267,nYQ-,M,Y,HEWT112,5/22/2011,6/27/2011
1453-39075,FYZ-,M,Y,WCOP911,4/22/1991,11/13/1991
1713-89696,Qn-P,M,Y,CLAS145,5/14/2014,5/16/2014
1713-89693,QO-G,M,Y,BNCH142,5/14/2014,3/11/2015
1713-49298,BBQ-H,M,Y,CHET114,6/18/2011,12/15/2014
1053-56510,GPS-,M,Y,LINX811,4/29/1981,5/17/1990
1053-56528,BW-Z,M,Y,SIBR891,4/25/1989,9/15/1989
1433-93069,SGR-,M,Y,SCOP871,5/3/1987,10/11/1989
1713-49291,nOQ-,M,Y,SFLS114,6/11/2011,7/20/2011
1433-93057,SLP-,M,Y,WCOP871,4/29/1987,2/13/1989
1433-93055,SPP-,M,Y,WCOP871,4/29/1987,4/11/1989
1433-93050,SGO-,M,Y,SIBR871,4/27/1987,4/11/1989
1713-89677,QP-L,M,Y,SWSE142,5/6/2014,7/12/2014
1433-93030,YFS-,M,Y,NRID812,5/5/1981,2/15/1987
1053-56530,On-Z,M,Y,NO19891,5/1/1989,5/10/1989
1713-49297,nYQ-,M,Y,RAUL112,6/11/2011,10/19/2011
1713-49287,PGQ-H,M,Y,LARR112,6/10/2011,9/14/2011
1433-92983,-FSO,M,Y,PLAZ861,5/3/1986,11/13/1991
1453-38937,-AWZ,M,Y,LINS902,5/16/1990,7/14/1999
1053-56533,WR-Z,M,Y,LOCK891,4/29/1989,7/11/1989
1433-92977,-PSO,M,Y,SPLT861,5/1/1986,1/10/1989
1713-49300,nYQ-,M,Y,POLA116,6/18/2011,1/18/2012
1053-56534,RR-Z,M,Y,LOCK891,4/29/1989,3/12/1990
1713-49304,PWQ-H,M,Y,BIGL112,6/19/2011,8/13/2014
1713-49306,nPQ-,M,Y,BNCH113,6/23/2011,10/14/2015
1433-92044,RBS-,M,Y,COPS812,6/5/1981,2/18/1992
1053-56535,Gn-Z,M,Y,LOCK891,4/29/1989,6/10/1989
1713-49309,nHQ-,M,Y,BNCH113,6/23/2011,7/20/2011
1053-56537,BG-Z,M,Y,BIGL891,4/27/1989,11/11/1992
1053-56538,PG-Z,M,Y,BIGL891,4/27/1989,12/14/1989
1713-89674,QP-B,M,Y,PINE141,5/8/2014,7/15/2015
1433-92987,-BSL,M,Y,NBEN861,4/30/1986,3/12/1988
1453-39045,YGZ-,M,Y,LOCK912,4/18/1991,11/13/1991
1713-89686,QP-P,M,Y,FENC141,5/10/2014,7/15/2015
1453-39062,YBZ-,M,Y,CACT911,4/21/1991,9/6/1991
1453-39060,RnZ-,M,Y,CACT911,4/21/1991,5/10/1991
1053-14499,SL-L,M,Y,FIRE841,5/7/1984,5/17/1990
1053-56502,WSY-,M,Y,WSIX851,5/5/1985,3/12/1988
1713-49273,RHQ-H,M,Y,PITA113,5/30/2011,10/14/2015
1453-39051,ARZ-,M,Y,SIBR911,4/16/1991,8/17/1993
1053-56503,GAS-,M,Y,NWES811,4/18/1981,8/12/1994
1713-49274,RAQ-H,M,Y,PITA113,5/30/2011,12/12/2012
1453-39049,LnZ-,M,Y,SCOP911,4/18/1991,5/10/1991
1453-39048,GOZ-,M,Y,SCOP911,4/18/1991,1/18/1992
1433-93088,SAP-,M,Y,SSAN871,5/8/1987,7/10/1997
1713-49281,nOQ-,M,Y,NPOL112,6/3/2011,2/15/2012
1713-49271,AAQ-,M,Y,PINS112,5/28/2011,4/11/2012
1453-39044,GGZ-,M,Y,LOCK912,4/18/1991,9/6/1991
1453-39043,RnZ-,M,Y,CURY911,4/16/1991,4/16/1991
1453-39042,OWZ=,M,Y,CURY911,4/16/1991,2/18/1992
1713-89683,QP-G,M,Y,NWES141,5/10/2014,10/14/2015
1053-56515,RP-Z,M,Y,CTRN891,4/29/1989,3/1/1991
1453-39040,ARZ=,M,Y,RUSS911,4/16/1991,10/13/1999
1053-56524,Wn-Z,M,Y,SPLT891,4/22/1989,6/10/1989
1713-49282,nLQ-,M,Y,NPOL112,6/3/2011,7/20/2011
1453-38968,-BWZ,M,Y,WSIX902,5/28/1990,6/15/1994
1713-89680,QG-A,M,Y,PLAZ141,5/7/2014,9/17/2014
1453-38957,-RYZ,M,Y,HICR902,5/25/1990,7/13/1990
1713-49286,PRQ-H,M,Y,LARR112,6/10/2011,8/17/2011
1713-89684,QO-H,M,Y,WCOP141,5/10/2014,9/16/2015
1713-49203,RYQ-H,M,Y,SCOB111,5/2/2011,8/17/2011
1453-63559,Z-GP,M,Y,DEER933,5/8/1993,4/10/2002
1713-49208,OPQ-,M,Y,EBAY112,4/30/2011,10/14/2015
1453-63539,Z-YW,M,Y,CHOP932,5/3/1993,8/18/2003
1713-49207,OBQ-,M,Y,EBAY112,4/30/2011,10/14/2015
1453-63541,Z-PW,M,Y,CHOP932,5/3/1993,4/14/1994
1453-63534,Z-OY,M,Y,LOOP931,4/26/1993,4/15/1995
1453-63547,Z-RB,M,Y,SCOB931,5/5/1993,4/15/1995
1043-80125,-SWO,M,Y,SIBR881,4/28/1988,10/16/1991
1713-49202,RGQ-H,M,Y,SCOB111,5/2/2011,10/14/2015
1713-89729,QP-A,M,Y,TWEN142,6/3/2014,10/15/2014
1713-49201,RRQ-H,M,Y,SCOB111,5/2/2011,7/18/2012
1713-49100,RWQ-H,M,Y,SCOB111,5/2/2011,8/22/2012
1713-49099,HOQ-,M,Y,CHET113,4/30/2011,1/16/2013
1453-63509,Z-WR,M,Y,SIXS931,4/17/1993,11/14/2005
1043-44289,ZOW-,M,Y,JERE972,5/6/1997,9/11/2000
1713-49214,HLQ-,M,Y,NURS113,5/3/2011,9/16/2015
1453-39118,GnZ-,M,Y,SLUM911,5/5/1991,5/10/1991
1043-80143,-SWF,M,Y,SORA882,5/8/1988,11/13/1991
1043-80142,-SOF,M,Y,NWES881,5/7/1988,7/16/1992
1043-80139,-SAO,M,Y,SPLT882,5/7/1988,2/12/1995
1453-63514,Z-AF,M,Y,N7RD932,4/18/1993,12/12/1994
1043-44300,ZOO-,M,Y,SCOP973,5/11/1997,7/11/2002
1453-63518,Z-WL,M,Y,SFLA931,4/25/1993,12/13/1997
1453-63561,Z-AP,M,Y,WCPR931,5/8/1993,7/10/1997
1453-63522,Z-BG,M,Y,WAHO931,4/24/1993,2/18/1998
1453-63524,Z-OG,M,Y,WAHO931,4/24/1993,1/10/2007
1453-63526,Z-FG,M,Y,BNCH931,4/24/1993,9/13/1997
1453-63527,Z-AG,M,Y,BNCH931,4/24/1993,12/10/2002
1453-63530,Z-GY,M,Y,SCOP931,4/25/1993,6/14/2001
1713-89726,Qn-O,M,Y,CRSN143,6/3/2014,6/11/2014
1453-63515,Z-BR,M,Y,WCOP931,4/19/1993,4/14/1994
1013-63316,AZ-G,M,Y,SFLA921,5/18/1992,1/13/1994
1713-49097,nBQ-,M,Y,VALL112,4/27/2011,4/29/2011
1713-49078,PHQ-,M,Y,CLAS113,4/26/2011,7/18/2012
1013-63330,OZ-R,M,Y,SCOP921,5/19/1992,4/14/1993
1713-89745,Qn-A,M,Y,LOPZ142,6/20/2014,6/20/2014
1713-49077,nAQ-,M,Y,JANW111,4/24/2011,4/25/2011
1713-89744,QH-O,M,Y,COPS143,6/15/2014,9/17/2014
1453-63599,Z-BF,M,Y,SIBR932,6/3/1993,3/17/1994
1453-63593,Z-OL,M,Y,BEND933,5/25/1993,9/11/1995
1453-63661,Z-WA,M,Y,HICE932,6/6/1993,7/14/1994
1713-89750,QL-H,M,Y,ELIN142,6/19/2014,10/14/2015
1453-63663,Z-GA,M,Y,HICE932,6/6/1993,7/15/2004
1453-63666,Z-LP,M,Y,N7RD933,6/3/1993,4/15/1995
1453-63667,Z-FL,M,Y,PAST933,6/8/1993,10/10/2002
1713-49073,nPQ-,M,Y,CATB112,4/27/2011,5/11/2011
1453-63598,Z-YF,M,Y,SIBR932,6/3/1993,1/13/1994
1713-49086,nOQ-,M,Y,SAND111,4/27/2011,5/12/2011
1043-44253,ZGW-,M,Y,PRAN971,4/27/1997,2/12/2001
1713-49091,YLQ-,M,Y,ANGB111,4/30/2011,9/14/2011
1713-89730,Qn-W,M,Y,ANNI143,6/2/2014,6/4/2014
1713-89731,Qn-R,M,Y,ANNI143,6/2/2014,6/4/2014
1453-63575,Z-WO,M,Y,CACT932,5/14/1993,6/15/1994
1713-49079,PAQ-,M,Y,CLAS113,4/26/2011,10/14/2015
1043-44222,ZGR-,M,Y,SFLA971,4/19/1997,6/14/2001
1713-49215,HHQ-,M,Y,NURS113,5/3/2011,3/14/2012
1713-89732,QH-G,M,Y,WLIN142,6/9/2014,9/16/2015
1043-44215,ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008
1713-49084,HBQ-,M,Y,SAND111,4/27/2011,10/14/2015
1713-89733,QH-Y,M,Y,WLIN142,6/9/2014,12/15/2014
1013-63369,OZ-W,M,Y,SIXS921,5/29/1992,4/14/1998
1453-63592,Z-PL,M,Y,BEND933,5/25/1993,8/10/2000
1043-44237,ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012
1713-49234,LRQ-,M,Y,SWSE114,5/9/2011,4/16/2013
1453-39123,YnZ-,M,Y,BEND911,5/5/1991,5/10/1991
