USFWBand,JayID,Sex,AgeKnown,NatalNest,FldgDate,LastObsDate
1453-63662,Z-RA,F,Y,HICE932,6/6/1993,8/12/1994
1453-63673,Z-WP,F,Y,RIDG933,6/20/1993,9/16/1994
1453-72715,ZL-B,F,Y,RUSS941,4/19/1994,7/18/1995
1453-72721,ZY-R,F,Y,EQUS941,4/28/1994,2/12/1995
1453-72723,ZP-G,F,Y,BNCH941,4/25/1994,2/12/2001
1453-72749,ZF-W,F,Y,CACT941,5/6/1994,9/11/2006
1453-72752,ZG-Y,F,Y,SWAL941,5/6/1994,4/15/1996
1453-78174,PZB-,F,Y,SIBR951,6/11/1995,11/16/1995
1453-72777,ZA-Y,F,Y,NBEN941,5/17/1994,9/16/1994
1453-39106,LGZ-,F,Y,HICE911,4/29/1991,8/13/1992
1453-78037,ZB-G,F,Y,SIBR941,4/25/1994,7/15/2004
1453-78116,GZG-,F,Y,HICE951,5/13/1995,2/18/1998
1453-78117,YZG-,F,Y,HICE951,5/13/1995,7/11/1996
1453-78118,BZG-,F,Y,HICE951,5/13/1995,1/14/1998
1453-78148,RZG-,F,Y,NNWX951,5/18/1995,2/12/1997
1453-78150,YZY-,F,Y,PAST951,5/21/1995,8/10/1996
1453-78152,PZY-,F,Y,PAST951,5/21/1995,12/12/1995
1453-78154,LZR-,F,Y,CHOP951,5/20/1995,4/15/1996
1453-78157,PZW-,F,Y,BIGL952,5/27/1995,8/10/1996
1453-78158,OZW-,F,Y,BIGL952,5/27/1995,8/11/1995
1453-72760,ZO-B,F,Y,BEND941,5/5/1994,3/16/1995
1433-58385,RZ-R,F,Y,SWAL921,5/10/1992,8/12/1994
1433-87478,LSF-,F,Y,CACT851,5/13/1985,3/14/1986
1423-42821,SL-Y,F,Y,SCOP841,5/1/1984,8/15/1990
1423-42823,SA-Y,F,Y,SCOP841,5/1/1984,5/14/1985
1423-42828,SG-F,F,Y,ROSE842,5/4/1984,9/13/1984
1423-42830,SB-F,F,Y,PLAZ841,5/5/1984,5/14/1985
1423-42837,SG-L,F,Y,NRID842,5/5/1984,8/9/1985
1423-42857,SA-O,F,Y,CTRW841,5/9/1984,7/15/1985
1423-42862,SL-P,F,Y,SAND841,5/14/1984,10/18/1984
1423-42863,SF-P,F,Y,SAND841,5/14/1984,8/9/1985
1423-42805,SL-B,F,Y,BEND841,4/25/1984,2/10/1985
1423-42881,SL-G,F,Y,IBRN843,6/23/1984,5/14/1985
1423-42795,SO-O,F,Y,EBAY842,4/28/1984,9/13/1984
1433-58400,BZ-R,F,Y,PAST921,5/13/1992,8/17/1993
1433-87429,WSF-,F,Y,SORA851,4/28/1985,12/13/1991
1433-87437,BSA-,F,Y,SPLT851,4/27/1985,10/11/1997
1433-87445,GSL-,F,Y,NWSX851,5/4/1985,8/18/1987
1433-87446,YSL-,F,Y,NWSX851,5/4/1985,8/10/1986
1433-87455,RSF-,F,Y,ARCT851,5/8/1985,2/14/1986
1433-87456,GSF-,F,Y,ARCT851,5/8/1985,3/14/1987
1433-87457,YSF-,F,Y,ARCT851,5/8/1985,4/11/1989
1433-87461,BSL-,F,Y,MILW851,5/10/1985,8/10/1986
1453-39109,RYZ-,F,Y,WWSX911,5/4/1991,6/11/1991
1423-42864,SA-P,F,Y,SAND841,5/14/1984,11/18/1984
1423-42697,S-RB,F,Y,BEND831,5/5/1983,10/17/1990
1453-78318,-GZL,F,Y,SCOP962,5/9/1996,2/18/1998
1423-42619,GS-F,F,Y,SCOP821,5/4/1982,3/14/1986
1423-42632,FS-O,F,Y,ANNI821,5/7/1982,6/20/1983
1423-42633,YS-O,F,Y,ANNI821,5/7/1982,3/14/1986
1423-42635,YS-A,F,Y,XRDS821,5/8/1982,6/14/1988
1423-42639,AS-L,F,Y,SSAN822,5/15/1982,8/10/1983
1423-42650,OS-O,F,Y,NBEN824,5/28/1982,9/10/1982
1423-42651,RS-L,F,Y,FIRE822,6/6/1982,8/10/1983
1423-42677,S-YB,F,Y,SORA831,5/1/1983,6/11/1984
1423-42807,SA-B,F,Y,BEND841,4/25/1984,4/10/1985
1423-42691,S-BB,F,Y,ROSE831,5/3/1983,1/11/1990
1433-87481,GSA-,F,Y,POLA851,5/14/1985,9/14/1987
1423-42707,S-FL,F,Y,SCOP831,5/6/1983,7/15/1985
1423-42709,S-YP,F,Y,SSAN831,5/7/1983,6/11/1984
1423-42712,S-OP,F,Y,PLAZ831,5/10/1983,3/17/1985
1423-42713,S-LP,F,Y,PLAZ831,5/10/1983,5/10/1995
1423-42735,S-BA,F,Y,CTRN831,5/12/1983,12/14/1989
1423-42739,S-FA,F,Y,CTRN831,5/12/1983,8/7/1984
1423-42745,S-WL,F,Y,CTRW831,5/16/1983,10/14/1986
1423-42772,S-PO,F,Y,SAND832,6/19/1983,10/11/1989
1423-42790,SR-O,F,Y,SORA841,4/23/1984,5/14/1985
1423-42791,SG-O,F,Y,SORA841,4/23/1984,6/15/1987
1423-42679,S-PB,F,Y,SORA831,5/1/1983,7/20/1983
1453-39090,ABZ-,F,Y,WSIX911,4/24/1991,8/9/1991
1433-87476,PSF-,F,Y,CACT851,5/13/1985,4/17/1988
1453-39063,BYZ-,F,Y,BALD911,4/23/1991,1/18/1992
1453-39064,PYZ-,F,Y,BALD911,4/23/1991,8/9/1991
1453-39065,AFZ-,F,Y,BALD911,4/23/1991,5/10/1991
1453-39074,LYZ-,F,Y,WCOP911,4/22/1991,12/13/1991
1453-39076,AYZ-,F,Y,WCOP911,4/22/1991,12/13/1991
1453-39077,WOZ-,F,Y,SCOB911,4/20/1991,12/13/1991
1453-39079,RWZ-,F,Y,SWAL911,4/22/1991,6/15/1992
1453-39080,GWZ-,F,Y,SWAL911,4/22/1991,8/13/1992
1453-39059,WBZ-,F,Y,CACT911,4/21/1991,7/12/1991
1453-39086,PWZ-,F,Y,MUME911,4/22/1991,8/13/1992
1453-39050,ROZ-,F,Y,SCOP911,4/18/1991,1/18/1992
1453-39092,PPZ-,F,Y,CABS911,4/28/1991,8/9/1991
1453-39093,OPZ-,F,Y,XRDS911,4/26/1991,2/12/1995
1453-39094,LnZ-,F,Y,XRDS911,4/26/1991,4/26/1991
1453-39095,FPZ-,F,Y,XRDS911,4/26/1991,12/13/1991
1453-39097,RRZ-,F,Y,YTRE912,4/26/1991,3/12/1993
1453-39098,GRZ-,F,Y,YTRE912,4/26/1991,11/13/1991
1453-39102,YRZ-,F,Y,SIXS911,4/29/1991,9/6/1991
1453-39103,BRZ-,F,Y,SIXS911,4/29/1991,1/18/1992
1453-39104,PRZ-,F,Y,SIXS911,4/29/1991,9/6/1991
1453-39105,OGZ-,F,Y,HICE911,4/29/1991,1/13/1995
1453-39081,YWZ-,F,Y,SWAL911,4/22/1991,7/15/1993
1433-93066,YOS=,F,Y,ANNI811,5/9/1981,9/14/1987
1433-87493,OSA-,F,Y,NBEN851,5/21/1985,8/10/1986
1433-87496,WSA-,F,Y,FENC852,5/23/1985,2/13/1989
1433-92909,YSO-,F,Y,NWES852,6/9/1985,8/10/1986
1433-92911,ASO=,F,Y,SCOP852,6/10/1985,12/12/1987
1433-92912,OSF-,F,Y,SAND852,6/11/1985,5/14/1987
1433-92974,-LSB,F,Y,SIXS861,4/29/1986,8/18/1987
1433-92981,-RSL,F,Y,ARCT861,5/1/1986,1/11/1987
1433-92982,-LSO,F,Y,PLAZ861,5/3/1986,6/15/1987
1433-92988,-PSL,F,Y,LINS861,5/2/1986,8/18/1987
1453-39061,GBZ-,F,Y,CACT911,4/21/1991,6/15/1992
1433-92995,-GSO,F,Y,PLOT861,5/12/1986,5/14/1987
1423-42617,WS-F,F,Y,SCOP821,5/4/1982,2/13/1989
1433-93068,SRR-,F,Y,SCOP871,5/3/1987,8/15/1989
1433-93082,SPO-,F,Y,FENC871,5/6/1987,8/15/1989
1433-93141,SLG-,F,Y,CABS873,6/13/1987,2/13/1989
1453-38956,-WnZ,F,Y,HICR902,5/25/1990,5/25/1990
1453-38958,-GnZ,F,Y,HICR902,5/25/1990,5/25/1990
1453-38959,-YnZ,F,Y,HICR902,5/25/1990,5/25/1990
1453-39037,OnZ-,F,Y,RUSS911,4/16/1991,4/16/1991
1453-39039,FnZ-,F,Y,RUSS911,4/16/1991,5/15/1991
1453-39046,BGZ-,F,Y,LOCK919,4/20/1991,9/6/1991
1453-39047,PnZ-,F,Y,SCOP911,4/18/1991,4/18/1991
1433-92989,-OSL,F,Y,LINS861,5/2/1986,7/13/1986
1713-13609,-HRQ,F,Y,DICE101,5/5/2010,10/14/2015
1713-49353,GQ-G,F,Y,SFLS121,5/7/2012,10/14/2015
1713-13602,-LRQ,F,Y,SFLA101,5/6/2010,9/15/2010
1713-49760,Q-RB,F,Y,JERE131,5/2/2013,10/16/2013
1713-49759,Q-RY,F,Y,JERE131,5/2/2013,6/26/2013
1713-13604,-LYQ,F,Y,NASP101,5/6/2010,10/14/2015
1713-13605,-nBQ,F,Y,NASP101,5/6/2010,6/24/2010
1713-13397,-OLQ,F,Y,LARR101,5/3/2010,7/14/2010
1713-13608,-HWQ,F,Y,DICE101,5/5/2010,10/14/2015
1713-13396,-OOQ,F,Y,LARR101,5/3/2010,10/14/2015
1713-49757,Q-GH,F,Y,JANW131,5/2/2013,2/27/2015
1713-13610,-HGQ,F,Y,DICE101,5/5/2010,10/14/2015
1713-49756,Q-GL,F,Y,JANW131,5/2/2013,10/14/2015
1713-49755,Q-PG,F,Y,WLIN131,5/2/2013,3/11/2015
1713-13611,-HYQ,F,Y,DICE101,5/5/2010,4/1/2013
1713-13612,-PWQ,F,Y,CATE101,5/7/2010,9/14/2011
1713-13606,-LPQ,F,Y,NASP101,5/6/2010,8/16/2010
1713-49765,Q-nR,F,Y,BUBO131,5/3/2013,5/7/2013
1713-13374,-nYQ,F,Y,SFLS101,4/29/2010,6/17/2010
