JayID,Sex,AgeKnown,NatalNest,FldgDate,LastObsDate,USFWBand,Difference
nLQ-,M,Y,NPOL112,6/3/2011 0:00,20-Jul-11,1713-49282,47
GHQ-,F,Y,CABS112,6/4/2011 0:00,12-Apr-16,1713-49283,1774
nAQ-,F,Y,CABS112,6/4/2011 0:00,28-Jun-11,1713-49284,24
nWQ-,F,Y,REDB112,6/7/2011 0:00,17-Aug-11,1713-49285,71
PRQ-H,M,Y,LARR112,6/10/2011 0:00,17-Aug-11,1713-49286,68
PGQ-H,M,Y,LARR112,6/10/2011 0:00,14-Sep-11,1713-49287,96
PYQ-H,F,Y,LARR112,6/10/2011 0:00,17-Aug-11,1713-49288,68
PBQ-H,F,Y,LARR112,6/10/2011 0:00,14-Sep-11,1713-49289,96
nOQ-,M,Y,SFLS114,6/11/2011 0:00,20-Jul-11,1713-49291,39
nLQ-,F,Y,SFLS114,6/11/2011 0:00,15-Jun-11,1713-49292,4
nGQ-,F,Y,RAUL112,6/11/2011 0:00,10-Jul-11,1713-49296,29
nYQ-,M,Y,RAUL112,6/11/2011 0:00,19-Oct-11,1713-49297,130
BBQ-H,M,Y,CHET114,6/18/2011 0:00,15-Dec-14,1713-49298,1276
nGQ-,F,Y,POLA116,6/18/2011 0:00,26-Jun-11,1713-49299,8
nYQ-,M,Y,POLA116,6/18/2011 0:00,18-Jan-12,1713-49300,214
POQ-H,F,Y,NWES113,6/20/2011 0:00,12-Aug-13,1713-49303,784
PWQ-H,M,Y,BIGL112,6/19/2011 0:00,13-Aug-14,1713-49304,1151
nPQ-,M,Y,BNCH113,6/23/2011 0:00,12-Apr-16,1713-49306,1755
BOQ-H,F,Y,BNCH113,6/23/2011 0:00,12-Apr-16,1713-49307,1755
nLQ-,F,Y,BNCH113,6/23/2011 0:00,01-Jul-11,1713-49308,8
nHQ-,M,Y,BNCH113,6/23/2011 0:00,20-Jul-11,1713-49309,27
nRQ-,F,Y,SFLW113,6/30/2011 0:00,20-Jul-11,1713-49313,20
nGQ-,F,Y,SFLW113,6/30/2011 0:00,20-Jul-11,1713-49314,20
nQ-W,M,Y,NWTR121,4/26/2012 0:00,01-Jun-12,1713-49330,36
nQ-R,F,Y,NWTR121,4/26/2012 0:00,15-May-12,1713-49331,19
nQ-W,F,Y,MERL121,5/4/2012 0:00,15-May-12,1713-49338,11
nQ-R,F,Y,MERL121,5/4/2012 0:00,21-May-12,1713-49339,17
nQ-G,F,Y,MERL121,5/4/2012 0:00,15-May-12,1713-49340,11
nQ-L,F,Y,SFLA121,5/3/2012 0:00,15-May-12,1713-49343,12
RQ-L,F,Y,EAGR121,5/6/2012 0:00,13-May-13,1713-49349,372
RQ-H,F,Y,EAGR121,5/6/2012 0:00,27-Feb-14,1713-49350,662
nQ-R,F,Y,SFLS121,5/7/2012 0:00,29-May-12,1713-49352,22
GQ-G,F,Y,SFLS121,5/7/2012 0:00,12-Apr-16,1713-49353,1436
GQ-P,M,Y,PINS121,5/12/2012 0:00,12-Apr-16,1713-49358,1431
GQ-O,F,Y,PINS121,5/12/2012 0:00,17-Jul-13,1713-49359,431
nQ-L,F,Y,PINS121,5/12/2012 0:00,24-May-12,1713-49360,12
YQ-L,M,Y,RATL121,5/13/2012 0:00,12-Apr-16,1713-49363,1430
nQ-R,F,Y,CURY122,5/17/2012 0:00,01-Jun-12,1713-49366,15
RQ-G,F,Y,CURY122,5/17/2012 0:00,12-Apr-16,1713-49367,1426
GQ-A,M,Y,WLIN122,5/16/2012 0:00,12-Aug-15,1713-49369,1183
nQ-W,M,Y,BLAR121,5/18/2012 0:00,19-May-12,1713-49373,1
PQ-R,M,Y,CATB121,5/20/2012 0:00,13-Aug-14,1713-49374,815
nQ-G,F,Y,CATB121,5/20/2012 0:00,21-May-12,1713-49375,1
PQ-B,M,Y,NBEN123,5/27/2012 0:00,12-Apr-16,1713-49377,1416
PQ-P,M,Y,NBEN123,5/27/2012 0:00,14-Jan-15,1713-49378,962
nQ-L,M,Y,DICE123,5/30/2012 0:00,07-Jun-12,1713-49380,8
nQ-H,F,Y,DICE123,5/30/2012 0:00,07-Jun-12,1713-49381,8
nQ-W,M,Y,WVAL122,6/2/2012 0:00,03-Jun-12,1713-49382,1
nQ-R,F,Y,WVAL122,6/2/2012 0:00,03-Jun-12,1713-49383,1
Q-WW,M,Y,HARY131,4/12/2013 0:00,12-Apr-16,1713-49707,1096
Q-WR,M,Y,HARY131,4/12/2013 0:00,12-Apr-16,1713-49708,1096
Q-nB,M,Y,CHET131,4/19/2013 0:00,20-Apr-13,1713-49712,1
Q-WL,F,Y,CURY132,4/23/2013 0:00,18-Nov-15,1713-49718,939
Q-WH,F,Y,CURY132,4/23/2013 0:00,11-Feb-15,1713-49719,659
Q-WA,M,Y,CURY132,4/23/2013 0:00,12-Apr-16,1713-49720,1085
Q-nW,F,Y,BINX131,4/23/2013 0:00,15-May-13,1713-49725,22
Q-RR,F,Y,BINX131,4/23/2013 0:00,16-Apr-14,1713-49726,358
Q-RG,M,Y,BINX131,4/23/2013 0:00,12-Apr-16,1713-49727,1085
Q-WY,F,Y,NPOL131,4/24/2013 0:00,12-Apr-16,1713-49728,1084
Q-WB,F,Y,NPOL131,4/24/2013 0:00,18-Sep-13,1713-49729,147
Q-nH,F,Y,EAGB131,4/25/2013 0:00,18-May-13,1713-49731,23
Q-RA,F,Y,EAGB131,4/25/2013 0:00,11-Dec-13,1713-49732,230
Q-GW,M,Y,BIGL132,4/26/2013 0:00,13-Nov-13,1713-49736,201
Q-GR,F,Y,BIGL132,4/26/2013 0:00,12-Mar-14,1713-49737,320
Q-GG,M,Y,BIGL132,4/26/2013 0:00,16-Sep-15,1713-49738,873
Q-YB,M,Y,TP39132,4/28/2013 0:00,17-Jul-13,1713-49740,80
Q-nO,M,Y,BNCH131,4/29/2013 0:00,29-Apr-13,1713-49742,0
Q-RL,F,Y,BNCH131,4/29/2013 0:00,12-Apr-16,1713-49743,1079
Q-BG,F,Y,SFLS131,4/29/2013 0:00,20-Jan-16,1713-49747,996
Q-BB,F,Y,HEWT131,4/30/2013 0:00,12-Apr-16,1713-49749,1078
Q-BP,F,Y,HEWT131,4/30/2013 0:00,21-Jul-14,1713-49750,447
Q-nO,F,Y,HEWT131,4/30/2013 0:00,17-May-13,1713-49751,17
Q-PW,F,Y,WLIN131,5/2/2013 0:00,12-Apr-16,1713-49753,1076
Q-PR,M,Y,WLIN131,5/2/2013 0:00,16-Oct-13,1713-49754,167
Q-PG,F,Y,WLIN131,5/2/2013 0:00,11-Mar-15,1713-49755,678
Q-GL,F,Y,JANW131,5/2/2013 0:00,12-Apr-16,1713-49756,1076
Q-GH,F,Y,JANW131,5/2/2013 0:00,27-Feb-15,1713-49757,666
Q-GA,M,Y,JANW131,5/2/2013 0:00,12-Apr-16,1713-49758,1076
Q-RY,F,Y,JERE131,5/2/2013 0:00,26-Jun-13,1713-49759,55
Q-RB,F,Y,JERE131,5/2/2013 0:00,16-Oct-13,1713-49760,167
Q-nP,F,Y,JERE131,5/2/2013 0:00,23-May-13,1713-49761,21
Q-WO,F,Y,NURS132,5/2/2013 0:00,13-Aug-14,1713-49762,468
Q-nW,M,Y,BUBO131,5/3/2013 0:00,13-May-13,1713-49764,10
Q-nR,F,Y,BUBO131,5/3/2013 0:00,07-May-13,1713-49765,4
Q-WG,F,Y,BUBO131,5/3/2013 0:00,14-Jan-15,1713-49766,621
Q-GY,F,Y,ANGB131,5/3/2013 0:00,11-Feb-15,1713-49767,649
Q-GB,M,Y,ANGB131,5/3/2013 0:00,12-Aug-13,1713-49768,101
Q-GP,F,Y,ANGB131,5/3/2013 0:00,12-Apr-16,1713-49769,1075
Q-GO,M,Y,ANGB131,5/3/2013 0:00,11-Mar-15,1713-49770,677
Q-OW,M,Y,CLAS134,5/4/2013 0:00,17-Feb-16,1713-49774,1019
Q-nG,M,Y,CLAS134,5/4/2013 0:00,30-Jun-13,1713-49776,57
Q-nH,M,Y,CABS131,5/4/2013 0:00,12-Jun-13,1713-49777,39
Q-BA,M,Y,SCOB131,5/5/2013 0:00,12-Aug-13,1713-49778,99
Q-LY,F,Y,RATL132,5/5/2013 0:00,18-Sep-13,1713-49779,136
Q-LB,M,Y,RATL132,5/5/2013 0:00,18-Sep-13,1713-49780,136
Q-RP,M,Y,HTOP131,5/7/2013 0:00,12-Apr-16,1713-49781,1071
Q-RO,M,Y,HTOP131,5/7/2013 0:00,12-Apr-16,1713-49782,1071
Q-nL,M,Y,PINS132,5/7/2013 0:00,19-Jun-13,1713-49783,43
Q-RH,F,Y,PINS132,5/7/2013 0:00,16-Oct-13,1713-49784,162
Q-nA,M,Y,PINS132,5/7/2013 0:00,12-Jun-13,1713-49785,36
Q-YW,F,Y,CATE132,5/9/2013 0:00,13-Aug-14,1713-49786,461
Q-YG,F,Y,CATE132,5/9/2013 0:00,13-Nov-13,1713-49788,188
Q-HY,F,Y,PLAZ132,5/11/2013 0:00,12-Apr-16,1713-49789,1067
Q=LW,M,Y,REED132,5/12/2013 0:00,12-Apr-16,1713-49792,1066
Q-nO,F,Y,ANGL133,5/12/2013 0:00,13-May-13,1713-49795,1
Q-nH,M,Y,ANGL133,5/12/2013 0:00,13-May-13,1713-49797,1
Q-PY,F,Y,SAND132,5/11/2013 0:00,15-Apr-15,1713-49799,704
Q-PB,M,Y,SAND132,5/11/2013 0:00,12-Apr-16,1713-49800,1067
Q-nP,M,Y,NWTR133,5/12/2013 0:00,14-May-13,1713-13480,2
Q-HO,M,Y,NWTR133,5/12/2013 0:00,16-Sep-15,1713-13481,857
Q-nL,F,Y,NWTR133,5/12/2013 0:00,25-Jun-13,1713-13482,44
Q-BH,M,Y,NWTR133,5/12/2013 0:00,12-Apr-16,1713-13483,1066
Q-RW,M,Y,NSWL131,5/13/2013 0:00,12-Apr-16,1713-13484,1065
Q-nY,F,Y,NBEN132,5/14/2013 0:00,19-Jun-13,1713-13486,36
Q-nO,F,Y,PITA133,5/15/2013 0:00,16-May-13,1713-13489,1
Q-nL,M,Y,PITA133,5/15/2013 0:00,24-May-13,1713-13490,9
Q-nH,F,Y,PITA133,5/15/2013 0:00,15-May-13,1713-13491,0
Q-nA,M,Y,PITA133,5/15/2013 0:00,16-May-13,1713-13492,1
Q-HR,F,Y,PINE132,5/17/2013 0:00,12-Apr-16,1713-13494,1061
Q-HG,F,Y,PINE132,5/17/2013 0:00,15-Jul-15,1713-13495,789
Q-BO,M,Y,NWES132,5/19/2013 0:00,12-Aug-15,1713-13497,815
Q-nP,F,Y,NWES132,5/19/2013 0:00,09-Jul-13,1713-13498,51
Q-nO,F,Y,NWES132,5/19/2013 0:00,12-Jun-13,1713-13499,24
Q-BL,M,Y,NWES132,5/19/2013 0:00,16-Apr-14,1713-13500,332
Q-PL,M,Y,SHIC132,5/25/2013 0:00,12-Mar-14,1513-50080,291
Q-PO,F,Y,SHIC132,5/25/2013 0:00,12-Apr-16,1513-50081,1053
Q-YO,F,Y,JANN131,5/25/2013 0:00,12-Apr-16,1513-50086,1053
Q-nL,F,Y,JANN131,5/25/2013 0:00,08-Jun-13,1513-50087,14
Q-nH,F,Y,JANN131,5/25/2013 0:00,08-Jun-13,1513-50088,14
Q-PP,F,Y,SHIC132,5/25/2013 0:00,13-May-15,1513-50082,718
Q-YR,F,Y,CRSN134,5/25/2013 0:00,16-Oct-13,1513-50090,144
Q-PA,F,Y,NASP132,5/28/2013 0:00,01-Jul-14,1513-50092,399
Q-YA,M,Y,COPS132,5/30/2013 0:00,12-Apr-16,1513-50093,1048
Q-nH,F,Y,RAUL133,6/2/2013 0:00,03-Jun-13,1513-50099,1
Q-OY,M,Y,MERL132,6/5/2013 0:00,11-Jun-14,1573-66056,371
Q-OR,F,Y,MERL132,6/5/2013 0:00,12-Apr-16,1573-66057,1042
Q-OG,M,Y,MERL132,6/5/2013 0:00,12-Aug-13,1573-66058,68
Q-PH,M,Y,WCOP131,6/6/2013 0:00,13-Nov-13,1573-66063,160
Q-OO,M,Y,WCPR131,6/10/2013 0:00,12-Apr-16,1573-66068,1037
Q-nL,M,Y,WCPR131,6/10/2013 0:00,09-Jul-13,1573-66069,29
Q-OH,M,Y,WCPR131,6/10/2013 0:00,12-Apr-16,1573-66070,1037
Q-AB,M,Y,MOLY132,6/12/2013 0:00,12-Apr-16,1573-66071,1035
Q-nP,M,Y,MOLY132,6/12/2013 0:00,27-Jun-13,1573-66072,15
Q-LH,M,Y,ROSE134,6/25/2013 0:00,15-Jul-15,1573-66084,750
Q-nO,M,Y,CHET134,7/2/2013 0:00,15-Jan-14,1573-66085,197
QW-R,M,Y,LOPZ141,4/16/2014 0:00,16-Sep-15,1573-66094,518
QW-Y,F,Y,MERL142,4/17/2014 0:00,17-Feb-16,1573-66096,671
QR-B,F,Y,REED142,4/21/2014 0:00,15-Apr-15,1573-66097,359
QR-P,M,Y,REED142,4/21/2014 0:00,17-Jun-15,1573-66098,422
QR-O,F,Y,REED142,4/21/2014 0:00,15-Jul-15,1573-66100,450
Qn-L,F,Y,HARY141,4/21/2014 0:00,14-May-14,1713-89601,23
Qn-H,M,Y,HARY141,4/21/2014 0:00,09-Jun-14,1713-89602,49
QW-A,F,Y,HARY141,4/21/2014 0:00,12-Nov-14,1713-89603,205
QR-W,F,Y,SCOB141,4/23/2014 0:00,12-Apr-16,1713-89604,720
Qn-R,M,Y,SCOB141,4/23/2014 0:00,24-Apr-14,1713-89605,1
QR-G,F,Y,SCOB141,4/23/2014 0:00,15-Oct-14,1713-89606,175
QR-Y,M,Y,SCOB141,4/23/2014 0:00,17-Feb-16,1713-89607,665
Qn-H,F,Y,NASP141,4/22/2014 0:00,23-Apr-14,1713-89612,1
Qn-W,M,Y,EAGB141,4/18/2014 0:00,02-May-14,1713-89613,14
QR-R,M,Y,EAGB141,4/18/2014 0:00,12-Apr-16,1713-89614,725
QP-Y,F,Y,DICE141,4/23/2014 0:00,17-Sep-14,1713-89616,147
Qn-B,M,Y,DICE141,4/23/2014 0:00,23-Apr-14,1713-89617,0
QG-P,F,Y,NENE141,4/27/2014 0:00,15-Apr-15,1713-89618,353
QG-O,F,Y,NENE141,4/27/2014 0:00,15-Apr-15,1713-89619,353
QH-W,F,Y,BOBB141,4/24/2014 0:00,12-Apr-16,1713-89621,719
QH-R,F,Y,BOBB141,4/24/2014 0:00,15-Oct-14,1713-89622,174
Qn-G,M,Y,BOBB141,4/24/2014 0:00,23-May-14,1713-89623,29
Qn-Y,F,Y,SAND142,4/27/2014 0:00,12-May-14,1713-89624,15
QA-B,F,Y,SAND142,4/27/2014 0:00,12-Apr-16,1713-89625,716
QW-P,F,Y,SAND142,4/27/2014 0:00,12-Aug-15,1713-89626,472
QW-L,M,Y,NPOL142,4/26/2014 0:00,17-Jun-15,1713-89628,417
QW-H,M,Y,NPOL142,4/26/2014 0:00,12-Nov-14,1713-89629,200
Qn-A,M,Y,NPOL142,4/26/2014 0:00,27-Apr-14,1713-89630,1
QB-R,M,Y,WVAL141,4/25/2014 0:00,21-Jul-14,1713-89632,87
QY-W,M,Y,NSWL141,4/27/2014 0:00,17-Jun-15,1713-89633,416
QY-R,F,Y,NSWL141,4/27/2014 0:00,12-Apr-16,1713-89634,716
Qn-G,F,Y,BINX141,4/30/2014 0:00,08-May-14,1713-89635,8
QB-Y,M,Y,BINX141,4/30/2014 0:00,15-Jul-15,1713-89636,441
Qn-B,M,Y,BINX141,4/30/2014 0:00,08-May-14,1713-89637,8
QB-O,M,Y,RAUL141,4/28/2014 0:00,12-Apr-16,1713-89639,715
QB-L,F,Y,RAUL141,4/28/2014 0:00,12-Apr-16,1713-89640,715
Qn-A,F,Y,RAUL141,4/28/2014 0:00,30-Apr-14,1713-89642,2
QB-G,M,Y,SLAK141,4/28/2014 0:00,12-Apr-16,1713-89643,715
QB-P,F,Y,SLAK141,4/28/2014 0:00,12-Apr-16,1713-89645,715
QY-O,M,Y,N18E141,4/28/2014 0:00,12-Nov-14,1713-89647,198
QY-L,F,Y,N18E141,4/28/2014 0:00,12-Apr-16,1713-89648,715
Qn-H,F,Y,N18E141,4/28/2014 0:00,21-May-14,1713-89649,23
QY-A,M,Y,N18E141,4/28/2014 0:00,15-Dec-14,1713-89650,231
QW-W,F,Y,PINS142,5/1/2014 0:00,13-Aug-14,1713-89651,104
Qn-R,M,Y,PINS142,5/1/2014 0:00,02-May-14,1713-89652,1
Qn-Y,M,Y,PINS142,5/1/2014 0:00,02-May-14,1713-89654,1
QL-B,M,Y,SHIC141,5/1/2014 0:00,17-Sep-14,1713-89655,139
QL-PI,F,Y,SHIC141,5/1/2014 0:00,12-Aug-15,1713-89656,468
Qn-O,M,Y,SHIC141,5/1/2014 0:00,12-Apr-16,1713-89657,712
QR-L,M,Y,JERE141,5/3/2014 0:00,14-Jan-15,1713-89658,256
Qn-H,M,Y,JERE141,5/3/2014 0:00,12-May-14,1713-89659,9
QR-A,F,Y,JERE141,5/3/2014 0:00,21-Jul-14,1713-89660,79
QG-W,F,Y,ROSE141,5/4/2014 0:00,15-Jul-15,1713-89661,437
QG-R,M,Y,ROSE141,5/4/2014 0:00,17-Sep-14,1713-89662,136
QG-G,M,Y,ROSE141,5/4/2014 0:00,12-Apr-16,1713-89663,709
Qn-O,M,Y,CATE141,5/6/2014 0:00,07-May-14,1713-89667,1
QG-L,F,Y,CATE141,5/6/2014 0:00,15-Oct-14,1713-89668,162
QG-H,F,Y,CATE141,5/6/2014 0:00,20-Jan-16,1713-89669,624
Qn-W,M,Y,TP39141,5/7/2014 0:00,15-May-14,1713-89670,8
Qn-R,F,Y,TP39141,5/7/2014 0:00,15-May-14,1713-89671,8
Qn-G,M,Y,TP39141,5/7/2014 0:00,15-May-14,1713-89672,8
QP-B,M,Y,PINE141,5/8/2014 0:00,15-Jul-15,1713-89674,433
Qn-P,F,Y,PINE141,5/8/2014 0:00,12-May-14,1713-89675,4
QP-O,F,Y,PINE141,5/8/2014 0:00,21-Jul-14,1713-89676,74
QP-L,M,Y,SWSE142,5/6/2014 0:00,12-Jul-14,1713-89677,67
QG-A,M,Y,PLAZ141,5/7/2014 0:00,17-Sep-14,1713-89680,133
QP-W,F,Y,NWES141,5/10/2014 0:00,12-Apr-16,1713-89681,703
QP-R,F,Y,NWES141,5/10/2014 0:00,13-Aug-14,1713-89682,95
QP-G,M,Y,NWES141,5/10/2014 0:00,12-Apr-16,1713-89683,703
QO-H,M,Y,WCOP141,5/10/2014 0:00,16-Sep-15,1713-89684,494
QO-A,F,Y,WCOP141,5/10/2014 0:00,17-Sep-14,1713-89685,130
QP-P,M,Y,FENC141,5/10/2014 0:00,15-Jul-15,1713-89686,431
Qn-H,F,Y,CIRC143,5/12/2014 0:00,13-Jun-14,1713-89689,32
QB-A,M,Y,CIRC143,5/12/2014 0:00,12-Apr-16,1713-89690,701
QO-WI,F,Y,BNCH142,5/14/2014 0:00,16-Sep-15,1713-89691,490
QO-R,F,Y,BNCH142,5/14/2014 0:00,16-Sep-15,1713-89692,490
QO-G,M,Y,BNCH142,5/14/2014 0:00,11-Mar-15,1713-89693,301
Qn-B,M,Y,CLAS145,5/14/2014 0:00,16-May-14,1713-89694,2
Qn-Y,M,Y,CLAS145,5/14/2014 0:00,16-May-14,1713-89695,2
Qn-P,M,Y,CLAS145,5/14/2014 0:00,16-May-14,1713-89696,2
QW-O,M,Y,SCRP142,5/23/2014 0:00,15-Apr-15,1713-89697,327
Qn-L,M,Y,SCRP142,5/23/2014 0:00,24-May-14,1713-89698,1
QY-Y,M,Y,EAGR143,5/24/2014 0:00,12-Apr-16,1713-89703,689
QB-B,M,Y,EAGR143,5/24/2014 0:00,13-Aug-14,1713-89704,81
QO-L,F,Y,SING142,5/26/2014 0:00,12-Apr-16,1713-89707,687
Qn-H,F,Y,SING142,5/26/2014 0:00,11-Jun-14,1713-89708,16
Qn-A,F,Y,SING142,5/26/2014 0:00,11-Jun-14,1713-89709,16
Qn-W,M,Y,PMPE143,5/28/2014 0:00,12-Jun-14,1713-89710,15
Qn-R,M,Y,PMPE143,5/28/2014 0:00,12-Jul-14,1713-89711,45
QO-Y,M,Y,CATB143,5/30/2014 0:00,23-Mar-16,1713-89713,663
Qn-B,M,Y,CATB143,5/30/2014 0:00,14-Jul-14,1713-89714,45
QO-P,F,Y,CATB143,5/30/2014 0:00,12-Apr-16,1713-89715,683
QO-O,F,Y,CATB143,5/30/2014 0:00,15-Oct-14,1713-89716,138
QH-L,M,Y,BLRB142,5/28/2014 0:00,12-Apr-16,1713-89717,685
Qn-H,F,Y,BLRB142,5/28/2014 0:00,28-Jun-14,1713-89718,31
QH-A,F,Y,BLRB142,5/28/2014 0:00,13-Aug-14,1713-89719,77
QA-W,F,Y,HEWT142,6/1/2014 0:00,13-May-15,1713-89720,346
QA-R,F,Y,HEWT142,6/1/2014 0:00,11-Mar-15,1713-89721,283
Qn-P,F,Y,CRSN143,6/3/2014 0:00,11-Jun-14,1713-89725,8
Qn-O,M,Y,CRSN143,6/3/2014 0:00,11-Jun-14,1713-89726,8
Qn-L,F,Y,CRSN143,6/3/2014 0:00,12-Jun-14,1713-89727,9
QP-H,F,Y,TWEN142,6/3/2014 0:00,15-Dec-14,1713-89728,195
QP-A,M,Y,TWEN142,6/3/2014 0:00,15-Oct-14,1713-89729,134
Qn-W,M,Y,ANNI143,6/2/2014 0:00,04-Jun-14,1713-89730,2
Qn-R,M,Y,ANNI143,6/2/2014 0:00,04-Jun-14,1713-89731,2
QH-G,M,Y,WLIN142,6/9/2014 0:00,16-Sep-15,1713-89732,464
QH-Y,M,Y,WLIN142,6/9/2014 0:00,15-Dec-14,1713-89733,189
Qn-P,F,Y,PITA146,6/11/2014 0:00,15-Oct-14,1713-89735,126
Qn-B,F,Y,COPS143,6/15/2014 0:00,18-Jul-14,1713-89742,33
QH-P,F,Y,COPS143,6/15/2014 0:00,17-Sep-14,1713-89743,94
QH-O,M,Y,COPS143,6/15/2014 0:00,17-Sep-14,1713-89744,94
Qn-A,M,Y,LOPZ142,6/20/2014 0:00,20-Jun-14,1713-89745,0
QL-H,M,Y,ELIN142,6/19/2014 0:00,14-Oct-15,1713-89750,482
QL-A,F,Y,ELIN142,6/19/2014 0:00,12-Apr-16,1713-89751,663
WQW-,M,Y,CHET151,4/21/2015 0:00,12-Apr-16,1713-89769,357
WQY-,F,Y,SHIC151,4/21/2015 0:00,12-Apr-16,1713-89772,357
WQB-,F,Y,SHIC151,4/21/2015 0:00,12-Apr-16,1713-89773,357
WQP-,F,Y,SHIC151,4/21/2015 0:00,17-Jun-15,1713-89774,57
RQL-,F,Y,ANGB151,4/24/2015 0:00,16-Dec-15,1713-89776,236
YQH-,M,Y,ANGB151,4/24/2015 0:00,12-Apr-16,1713-89777,354
RQW-,F,Y,NPOL151,4/25/2015 0:00,12-Apr-16,1713-89779,353
RQR-,M,Y,NPOL151,4/25/2015 0:00,12-Apr-16,1713-89780,353
RQG-,F,Y,NPOL151,4/25/2015 0:00,12-Apr-16,1713-89781,353
RQB-,M,Y,RATL151,4/26/2015 0:00,12-Apr-16,1713-89783,352
RQP-,M,Y,RATL151,4/26/2015 0:00,22-Jun-15,1713-89784,57
RQO-,F,Y,SFLS151,4/25/2015 0:00,12-Apr-16,1713-89785,353
nQL-,M,Y,SFLS151,4/25/2015 0:00,20-May-15,1713-89786,25
nQH-,F,Y,N18E151,4/25/2015 0:00,13-May-15,1713-89787,18
WQA-,M,Y,N18E151,4/25/2015 0:00,18-Nov-15,1713-89788,207
GQW-,F,Y,WLIN151,4/28/2015 0:00,12-Apr-16,1713-89789,350
GQR-,F,Y,WLIN151,4/28/2015 0:00,12-Apr-16,1713-89790,350
GQG-,F,Y,WLIN151,4/28/2015 0:00,12-Apr-16,1713-89791,350
nQY-,M,Y,BNCH152,4/26/2015 0:00,27-Apr-15,1713-89792,1
GQB-,F,Y,HARY151,4/27/2015 0:00,12-Aug-15,1713-89793,107
nQP-,M,Y,HARY151,4/27/2015 0:00,13-May-15,1713-89794,16
nQO-,M,Y,HARY151,4/27/2015 0:00,28-May-15,1713-89795,31
nQW-,M,Y,WARY151,4/22/2015 0:00,22-Apr-15,1713-89901,0
OQR-,M,Y,GRVR151,4/29/2015 0:00,12-Apr-16,1713-89907,349
OQB-,M,Y,GRVR151,4/29/2015 0:00,12-Aug-15,1713-89908,105
OQY-,F,Y,GRVR151,4/29/2015 0:00,12-Apr-16,1713-89910,349
BQW-,F,Y,SCRP151,4/29/2015 0:00,12-Aug-15,1713-89796,105
nQR-,F,Y,SCRP151,4/29/2015 0:00,16-May-15,1713-89797,17
BQG-,F,Y,SCRP151,4/29/2015 0:00,12-Aug-15,1713-89798,105
BQY-,M,Y,SCRP151,4/29/2015 0:00,12-Apr-16,1713-89799,349
YQB-,F,Y,PLAZ152,5/2/2015 0:00,12-Apr-16,1713-89800,346
YQP-,F,Y,PLAZ152,5/2/2015 0:00,12-Apr-16,1713-90101,346
GQL-,M,Y,ROSE151,5/4/2015 0:00,12-Aug-15,1713-90104,100
GQH-,M,Y,ROSE151,5/4/2015 0:00,15-Jul-15,1713-90105,72
GQA-,F,Y,ROSE151,5/4/2015 0:00,12-Aug-15,1713-90106,100
PQW-,F,Y,NURS152,5/3/2015 0:00,12-Apr-16,1713-90107,345
PQR-,M,Y,NURS152,5/3/2015 0:00,12-Aug-15,1713-90108,101
PQG-,M,Y,NURS152,5/3/2015 0:00,12-Apr-16,1713-90109,345
PQY-,M,Y,NURS152,5/3/2015 0:00,12-Apr-16,1713-90110,345
nQP-,M,Y,HEWT151,5/4/2015 0:00,20-May-15,1713-90112,16
YQO-,M,Y,HEWT151,5/4/2015 0:00,12-Aug-15,1713-90113,100
YQL-,M,Y,HEWT151,5/4/2015 0:00,12-Apr-16,1713-90114,344
RQA-,F,Y,CATE151,5/3/2015 0:00,12-Aug-15,1713-90116,101
YQW-,M,Y,WCOP152,5/8/2015 0:00,12-Aug-15,1713-90118,96
YQR-,M,Y,WCOP152,5/8/2015 0:00,14-Oct-15,1713-90119,159
nQG-,M,Y,WCOP152,5/8/2015 0:00,16-May-15,1713-90120,8
RQY-,M,Y,CRSM152,5/7/2015 0:00,12-Aug-15,1713-90121,97
PQB-,M,Y,BUBO151,5/7/2015 0:00,12-Apr-16,1713-90122,341
PQP-,F,Y,BUBO151,5/7/2015 0:00,12-Apr-16,1713-90123,341
nQO-,M,Y,BUBO151,5/7/2015 0:00,06-Jun-15,1713-90124,30
LQW-,M,Y,NASP152,5/9/2015 0:00,16-Sep-15,1713-90126,130
nQR-,F,Y,NASP152,5/9/2015 0:00,22-Jun-15,1713-90127,44
WQG-,M,Y,NASP152,5/9/2015 0:00,20-Jan-16,1713-90128,256
nQL-,F,Y,TOMB151,5/11/2015 0:00,13-May-15,1713-90129,2
RQH-,M,Y,TOMB151,5/11/2015 0:00,12-Aug-15,1713-90130,93
nQa-,M,Y,TOMB151,5/11/2015 0:00,13-May-15,1713-90131,2
PQO-,M,Y,WCPR151,5/10/2015 0:00,12-Aug-15,1713-90135,94
nQL-,F,Y,WCPR151,5/10/2015 0:00,17-Jun-15,1713-90136,38
nQR-,F,Y,MERL152,5/15/2015 0:00,30-May-15,1713-90140,15
YQY-,M,Y,MERL152,5/15/2015 0:00,12-Aug-15,1713-90142,89
nQP-,F,Y,MOLY154,5/12/2015 0:00,12-Apr-16,1713-90144,336
HQW-,M,Y,NBEN153,5/18/2015 0:00,12-Apr-16,1713-90148,330
BQO-,F,Y,COPS152,5/21/2015 0:00,12-Apr-16,1713-90156,327
BQL-,F,Y,COPS152,5/21/2015 0:00,12-Apr-16,1713-90157,327
OQW-,M,Y,ELIN151,5/23/2015 0:00,16-Sep-15,1713-90158,116
