JayID,Sex,AgeKnown,NatalNest,FldgDate,LastObsDate,USFWBand,Difference
-nAQ,F,Y,PMPE101,5/7/2010 0:00,16-Jun-10,1713-13628,40
-nYQ,M,Y,FENC101,5/6/2010 0:00,17-Jul-10,1713-13632,72
-ABQ,M,Y,FENC101,5/6/2010 0:00,19-Jan-11,1713-13633,258
-APQ,F,Y,FENC101,5/6/2010 0:00,17-Jul-10,1713-13634,72
-AOQ,F,Y,FENC101,5/6/2010 0:00,15-May-12,1713-13635,740
-HHQ,F,Y,CURY101,5/9/2010 0:00,15-Jun-11,1713-13643,402
-HAQ,M,Y,CURY101,5/9/2010 0:00,18-Jul-10,1713-13644,70
-BAQ,M,Y,CRSN102,5/11/2010 0:00,17-Nov-10,1713-13645,190
-PAQ,M,Y,CRSN102,5/11/2010 0:00,14-Dec-11,1713-13646,582
-OAQ,F,Y,CRSN102,5/11/2010 0:00,13-Apr-11,1713-13647,337
-RAQ,M,Y,MOLY101,5/8/2010 0:00,12-Apr-16,1713-13649,2166
-nHQ,M,Y,BUBO102,5/12/2010 0:00,13-Jul-10,1713-13650,62
-nAQ,M,Y,BUBO102,5/12/2010 0:00,19-May-10,1713-13651,7
-nHQ,M,Y,BOBB101,5/12/2010 0:00,19-May-10,1713-13652,7
-ALQ,F,Y,COPS101,5/14/2010 0:00,16-Apr-13,1713-13653,1068
-AHQ,M,Y,COPS101,5/14/2010 0:00,12-Apr-16,1713-13654,2160
-WBQ,M,Y,SCAC101,5/15/2010 0:00,17-Jul-13,1713-13656,1159
-nRQ,F,Y,SCAC101,5/15/2010 0:00,19-May-10,1713-13657,4
-nGQ,F,Y,SCAC101,5/15/2010 0:00,14-Jun-10,1713-13658,30
-GYQ,M,Y,GRVR102,5/19/2010 0:00,17-Jul-10,1713-13659,59
-BPQ,M,Y,PITA104,5/21/2010 0:00,19-Oct-11,1713-13661,516
-BOQ,M,Y,PITA104,5/21/2010 0:00,12-Apr-16,1713-13662,2153
-WHQ,M,Y,SCOB102,5/19/2010 0:00,17-Aug-11,1713-13663,455
